run_id,assignment_id,assignment_title,created_at,status,error,duration_ms,prompt_tokens,completion_tokens,total_tokens,llm_calls,plan_goal,plan_step_count,user_message,tool_call_count,tools_used,failed_tool_count,step_count,feedback_rating,feedback_comment,model_name,failure_category,failure_subcategory,coder_notes
c03080bb-a8b2-4347-9461-3fbe3ded1b44,eee8db33-babb-4752-937c-11e47a0a4cf2,Search for the weather in Paris,43:57.0,completed,,28131,8101,267,8368,3,Create an execution plan for the conversation,1,Search for the weather in Paris,1,http_request,0,4,,,qwen3.5:2b,,,
c521f452-baac-41af-a7c7-27bbca10775c,76dcab2f-e110-4beb-9866-f713d22282b8,what time is it in Tokyo?,42:49.5,completed,,28099,7920,124,8044,3,Create an execution plan for the conversation,1,what time is it in Tokyo?,1,time_date,0,4,positive,,qwen3.5:2b,,,
07305a1f-f72a-44c0-a50a-29a0a7aa6112,80190ceb-dca2-44ae-b626-f3c2585c3e59,"what is 2+2, then multiply that by 3",10:52.9,completed,,20196,4784,87,4871,2,Create an execution plan for the conversation,1,Add 10 to it.,0,,0,3,positive,,qwen3.5:2b,,,
de0493a8-419b-45ca-b5f9-3dceaa14f3e3,80190ceb-dca2-44ae-b626-f3c2585c3e59,"what is 2+2, then multiply that by 3",10:09.9,completed,,33761,11299,206,11505,4,"Calculate 2+2, multiply by 3, and provide the result",3,"what is 2+2, then multiply that by 3",2,calculator,0,5,positive,,qwen3.5:2b,,,
93907173-35be-4ca3-95f2-c22bd99bf8fa,b1d0f4c6-e930-48e7-9de1-690d94d96181,what time is it in Tokyo?,20:23.0,completed,,30240,7938,142,8080,3,Create an execution plan for the conversation,1,what time is it in Tokyo?,1,time_date,0,4,positive,,qwen3.5:2b,,,
ab9c8c50-b0bb-448f-8e97-d306f7a157dc,1f16559e-b819-4a3c-808b-b89eacb60b39,Search for the weather in Paris,19:11.9,completed,,33625,8023,217,8240,3,Create an execution plan for the conversation,1,Search for the weather in Paris,1,http_request,0,4,positive,,qwen3.5:2b,,,
eb0ccaa4-040b-47f0-a014-e13072f603d6,3d7a9ac1-0c1c-4e75-b432-13b60107b408,I live in Montreal.  How long is the drive between...,16:34.1,completed,,49108,12293,406,12699,4,Calculate the driving time between Montreal and New York City,2,"I live in Montreal.  How long is the drive between Montreal, QC and New York City, NY?",2,http_request,0,5,negative,It stopped mid-way through the plan.,qwen3.5:2b,P,P-LP,
3dc905d6-91a0-46b5-8676-56ad2126bd0e,ca24f267-f9c5-4e3e-8122-d92192a0fa5c,"How long is the drive between Montreal, QC and New...",17:43.5,completed,,38897,8430,305,8735,3,"Calculate the driving time between Montreal, QC and New York City, NY",4,"How long is the drive between Montreal, QC and New York City, NY?",1,web_search,0,4,positive,,qwen3.5:2b,,,
bd40cfde-ceab-4b8d-9d59-9602f37649f4,63278798-2f3b-4aab-a525-0a971bd5ddfd,Search for the weather in Paris,19:55.1,completed,,39063,11330,287,11617,4,Create an execution plan for the conversation,1,Search for the weather in Paris,2,http_request; web_search,0,5,positive,,qwen3.5:2b,,,
0aff16a3-d175-49bd-ad0d-b7d866079d10,ca74086f-6934-4550-a393-9e1961b92890,what time is it in Tokyo?,19:00.6,completed,,32061,7840,117,7957,3,Create an execution plan for the conversation,1,what time is it in Tokyo?,1,time_date,0,4,positive,,qwen3.5:2b,,,
b1ead76e-43be-4625-8935-6bbc23b9453f,79ce6fdf-509b-4d79-a9c4-aa827e3b014f,"what is 2+2, then multiply that by 3",18:19.6,completed,,20446,4747,89,4836,2,Create an execution plan for the conversation,1,Add 10 to it.,0,,0,3,positive,,qwen3.5:2b,,,
9cf251fc-e3b5-404a-99cf-ca426cfdf49b,79ce6fdf-509b-4d79-a9c4-aa827e3b014f,"what is 2+2, then multiply that by 3",17:10.4,completed,,31159,7917,166,8083,3,Create an execution plan for the conversation,1,"what is 2+2, then multiply that by 3",1,calculator,0,4,positive,,qwen3.5:2b,,,
834df2e9-16fa-43ee-9e68-3449b1f1651d,494fd484-584a-431e-adfa-c7ee73804453,What's the weather like in Toronto currently?,15:38.4,completed,,36934,8154,266,8420,3,Get current weather in Toronto,2,What's the weather like in Toronto currently?,1,http_request,0,4,positive,,qwen3.5:2b,,,
86f249e3-2aef-4e31-b5cb-d64bcf2ceebd,cdfe018c-f1ae-4fd0-918f-fa5448d643d6,Search for the weather in Paris,46:10.0,completed,,61140,19422,608,20030,6,Create an execution plan for the conversation,1,Search for the weather in Paris,4,fetch_page; http_request; web_search,0,7,positive,,qwen3.5:2b,,,
8be600fa-8e2e-41d3-9ae8-4a4ed42ab6d9,033ad708-0c98-4a7b-8b39-9190e17f3d92,what time is it in Tokyo?,53:22.6,completed,,68522,7599,127,7726,3,Create an execution plan for the conversation,1,what time is it in Tokyo?,1,time_date,0,4,positive,,qwen3.5:2b,,,
132f2d8d-a73f-4fe9-a056-619df1045d15,8ba487d1-da6b-4b6e-b3ab-858d1411da25,"what is 2+2, then multiply that by 3",52:37.5,completed,,27257,4798,99,4897,2,Create an execution plan for the conversation,1,Add 10 to it.,0,,0,3,positive,,qwen3.5:2b,,,
1033575d-4b07-4795-a787-7e76d2621fd8,8ba487d1-da6b-4b6e-b3ab-858d1411da25,"what is 2+2, then multiply that by 3",51:44.5,completed,,26719,4595,94,4689,2,Create an execution plan for the conversation,1,"what is 2+2, then multiply that by 3",0,,0,3,positive,,qwen3.5:2b,,,
827e9d7c-e0e8-4845-98e3-3a4896789dcc,b0e673bb-633b-4c7d-b605-82d5139e8404,What's the weather like in Toronto currently?,48:10.5,completed,,41627,11395,364,11759,4,Get current weather in Toronto and create an execution plan,3,What's the weather like in Toronto currently?,2,echo; http_request,0,5,positive,,qwen3.5:2b,,,
63bacd16-8334-4040-8d10-187adc167b63,2980db97-d99f-487b-9404-7bd7efff7db5,Search for the weather in Paris,46:43.7,completed,,31339,7980,303,8283,3,Create an execution plan for the conversation,1,Search for the weather in Paris,1,http_request,0,4,positive,,qwen3.5:2b,,,
e3d85bd0-1dfd-49c1-ab0d-8b712a2bce9e,c4948195-af93-4585-ba90-2e3a024145e6,what time is it in Tokyo?,21:34.6,completed,,28081,7777,103,7880,3,Create an execution plan for the conversation,1,what time is it in Tokyo?,1,time_date,0,4,positive,,qwen3.5:2b,,,
23109648-87de-4381-bea3-a2253093e1d9,e68024e0-94df-4052-ae6d-010b4e131de9,"what is 2+2, then multiply that by 3",19:43.4,completed,,19427,4698,69,4767,2,Create an execution plan for the conversation,1,Add 10 to it.,0,,0,3,positive,,qwen3.5:2b,,,
46970e21-6f36-43a9-9db0-a27f44af1174,e68024e0-94df-4052-ae6d-010b4e131de9,"what is 2+2, then multiply that by 3",18:58.4,completed,,33890,11115,202,11317,4,Create an execution plan for the conversation,1,"what is 2+2, then multiply that by 3",2,calculator,0,5,positive,,qwen3.5:2b,,,
e9ee6f81-dbe3-40fc-991a-9ba6abbfddef,080fa351-fb59-45c3-b0b2-147d2a02b1c3,Search for the weather in Paris,15:33.6,completed,,38245,8001,299,8300,3,Create an execution plan for the conversation,1,Search for the weather in Paris,1,http_request,0,4,positive,,qwen3.5:2b,,,
d163ce98-41e2-4188-80d9-a6ec4b3bce7f,9b03a767-bd94-4f4e-88b9-e6a09be2ecf5,what time is it in Tokyo?,37:13.7,completed,,29432,7870,142,8012,3,Create an execution plan for the conversation,1,what time is it in Tokyo?,1,time_date,0,4,positive,,qwen3.5:2b,,,
d7e17db2-0379-424f-bbe2-fa0d5ee55f3d,d86e63d8-701e-4018-bcf8-cf2d0f9a4b15,"what is 2+2, then multiply that by 3",33:02.3,completed,,19185,4698,68,4766,2,Create an execution plan for the conversation,1,Add 10 to it.,0,,0,3,positive,,qwen3.5:2b,,,
e75f8af6-23b8-42bf-b34e-77c8c729a895,d86e63d8-701e-4018-bcf8-cf2d0f9a4b15,"what is 2+2, then multiply that by 3",32:13.1,completed,,32756,11088,188,11276,4,Create an execution plan for the conversation,1,"what is 2+2, then multiply that by 3",2,calculator,0,5,positive,,qwen3.5:2b,,,
094c3df9-9a8f-4540-a2c5-ac4e6fb26667,c9f4c9be-d5f2-4e3c-8848-13784a849be1,Search for the weather in Paris,24:31.0,completed,,68138,19450,449,19899,6,Create an execution plan for the conversation,1,Search for the weather in Paris,4,http_request; web_search,0,7,positive,,qwen3.5:2b,,,
58adda6d-edcc-4711-b7eb-7579cdfae543,ee6ebfbc-5247-464c-9e69-3d1ecaad1be4,Search for the weather in Paris,34:39.6,completed,,66730,19728,700,20428,6,Execute search for current weather conditions in Paris,1,Search for the weather in Paris,4,http_request; web_search,0,7,negative,,qwen3.5:2b,P,P-NJ,
27e878d8-e191-4a74-9482-c22b2b972db7,9c7d17a0-9b09-4c1b-ad92-b87061460711,what time is it in Tokyo?,48:15.8,completed,,39598,11299,287,11586,4,Generate a structured JSON response outlining the planned steps to answer 'What time is it in Tokyo?',1,what time is it in Tokyo?,2,time_date,0,5,positive,,qwen3.5:2b,,,
8ff3c622-d698-499a-bdf7-e28168f3ae86,f7b3a5ae-8271-4c31-b91b-de80780e2f84,"CLI 3/12/2026, 3:43:24 PM",43:46.3,completed,,30995,9678,100,9778,3,Generate a structured response to 'What is 2+2?',1,what is 2 + 2 ?,1,calculator,0,4,positive,,qwen3.5:2b,,,
b03ef820-6ea3-4a02-bd31-9ad207f43243,d858f741-e5a8-46dc-88c1-10c3bc79b08a,Search for the weather in Paris,29:06.2,completed,,78435,16004,710,16714,5,Generate a structured execution plan based on user's request and context,1,yes.  Show me the current weather.,2,http_request; web_search,0,5,negative,,qwen3.5:2b,P,P-WT,
5a85f6d8-3018-45b9-8ca7-4d14548c952c,d858f741-e5a8-46dc-88c1-10c3bc79b08a,Search for the weather in Paris,58:22.5,completed,,56718,12293,537,12830,4,Generate an execution plan to search for current weather conditions and display them.,2,Search for the weather in Paris,2,http_request,0,5,negative,,qwen3.5:2b,T,T-PE,
38f3921f-39f6-47b1-88aa-bbeab3933529,5dcf4894-7e4d-4c9b-ae59-14c71a315e16,"CLI 3/9/2026, 7:22:04 PM",32:28.0,completed,,33271,8322,185,8507,3,Generate structured summary of the current conversational state,1,"what is 2+2, then multiply that by 3",1,calculator,0,4,positive,,qwen3.5:2b,,,
c4ea7c9b-920f-462d-a73e-e4837da5976e,74f9e658-30a7-41b9-8a2f-3824e069a99e,"CLI 3/9/2026, 7:37:46 PM",38:08.9,completed,,30353,9719,89,9808,3,Calculate expression (2+2)*3,1,what is (2+2) * 3 ?,1,calculator,0,4,positive,,qwen3.5:2b,,,
c55fa039-c104-4566-9765-a94a73d5862b,5dcf4894-7e4d-4c9b-ae59-14c71a315e16,"CLI 3/9/2026, 7:22:04 PM",26:30.9,completed,,41001,9844,157,10001,3,Execute the user's request: Add 10 to the result of (2+2) multiplied by 3,1,Add 10 to it.,1,calculator,0,4,negative,,qwen3.5:2b,T,T-PE,
210d32f6-ca60-410e-aaf4-71ece584d7f9,5dcf4894-7e4d-4c9b-ae59-14c71a315e16,"CLI 3/9/2026, 7:22:04 PM",23:20.0,completed,,36757,9713,185,9898,3,Generate a structured execution plan based on the previous math task and current user request,1,"what is 2+2, then multiply that by 3",1,calculator,0,4,negative,,qwen3.5:2b,P,P-OD,
06151f2b-af3f-4b60-bfd3-df68db86253b,513fdf5a-d9c2-4c24-b005-846aad8affee,"what is 2+2, then multiply that by 3",14:01.4,completed,,28250,4782,118,4900,2,Generate a structured execution plan based on the previous steps,1,Add 10 to it.,0,,0,3,positive,,qwen3.5:2b,,,
48ec55fe-03b1-47cd-9eff-efc7ca2b5b7a,513fdf5a-d9c2-4c24-b005-846aad8affee,"what is 2+2, then multiply that by 3",02:07.9,completed,,33785,7804,208,8012,3,Generate a structured execution plan based on the previous math task and current context,1,"what is 2+2, then multiply that by 3",1,calculator,0,4,positive,,qwen3.5:2b,,,
9bc0014e-97fe-40c3-8cf7-a7f5134047cf,953b5274-cbc4-4ff7-96b6-baed72346478,what time is it in Tokyo?,44:43.8,completed,,76077,23756,687,24443,7,Generate a structured JSON response outlining steps to answer 'What time is it in Tokyo?',2,what time is it in Tokyo?,5,http_request; time_date; web_search,0,8,negative,,qwen3.5:2b,T,T-PE,
6a865080-96e3-496d-8be3-8b6636542c20,72b40188-bf25-4245-9da2-db56d3596bfe,"what is 2+2, then multiply that by 3",34:37.9,completed,,27995,4715,106,4821,2,Plan the next steps in the user's interaction sequence,1,Add 10 to it.,0,,0,3,negative,Addition was not properly done.,qwen3.5:2b,T,T-PE,
45dc4d46-e391-4f9c-b979-1034153537e2,72b40188-bf25-4245-9da2-db56d3596bfe,"what is 2+2, then multiply that by 3",30:11.5,completed,,31091,7760,138,7898,3,Generate a structured response to the math query and create an execution plan,1,"what is 2+2, then multiply that by 3",1,calculator,0,4,positive,,qwen3.5:2b,,,
9dee99ec-eb9d-448f-9e5b-1939a4cde193,e940bb7e-e832-43a2-8e7e-8c496b96e1e3,what time is it in Tokyo?,20:54.1,completed,,31068,7765,159,7924,3,Generate a structured execution plan based on current context,1,what time is it in Tokyo?,1,time_date,0,4,positive,,qwen3.5:2b,,,
c154f4a9-85cd-471e-8d1e-4689b57f8619,98bb7a9a-58a8-43b0-9db8-d792069eacdc,Search for the weather in Paris,36:39.8,completed,,85065,16161,699,16860,5,Generate an optimized execution plan to search for current weather conditions and display them,2,Search for the weather in Paris,3,http_request,0,6,negative,,qwen3.5:2b,P,P-LP,
6b4135f1-d880-41f4-a373-9fcdac8d1d5d,0bf05ea0-7340-4f30-95ae-5750a632b3e8,"what is 2+2, then multiply that by 3",29:41.0,completed,,31920,7778,168,7946,3,Generate a structured execution plan based on the previous math task and current user request,1,"what is 2+2, then multiply that by 3",1,calculator,0,4,positive,,qwen3.5:2b,,,
c5f41173-b939-40d3-bb22-7d1023748cdf,3dc27b75-5a9d-4f03-8c07-4be043d13145,what time is it in Tokyo?,18:48.8,completed,,30744,7779,153,7932,3,Generate a structured execution plan based on current context and constraints,1,what time is it in Tokyo?,1,time_date,0,4,positive,,qwen3.5:2b,,,
